"";"No.";"Species";"Ring";"Nest_Brood";"Observer";"Sample_Date";"Brood_Status";"ID";"GC_Sample";"Date_Preparation";"Date_GC";"Sex";"Evaporated_fine_Scale";"Septum";"Date_Reffilling";"Evaporated";"Age";"Lat";"Long";"Incubation_Start";"Incubation_End";"Clutch_Fate";"Hatching_Date";"Incubation_Days";"Brood_Days";"easting";"northing";"Nest_or_Brood_Age";"time"
"w20";22;"MP";"FH68893";409;"LEP";414;"Nest";"FH68893W414";"W20";1126;1208;"f";2;0;1118;1;"A";321056;7555927;406;417;"predated?ted";NA;8;NA;321056;7555927;"8";1145
"w21";23;"KIP";"FH73308";441;"LEP";415;"Nest";"FH73308W415";"W21";1126;1208;"f";0;1;1118;0;"A";320805;7555932;403;402;"423";NA;12;NA;320805;7555932;"13";1142
"w22";24;"KIP";"FH72666";125;"OV";331;"Nest";"FH72666W331";"W22";1126;1208;"f";0;1;1130;0;"A";NA;NA;318;421;"hatched";421;13;NA;320277;7555439;"13";1223
"w23";25;"WFP";"FH47227";108;"OV";422;"Brood";"FH47227W422";"W23";1126;1208;"m";1;0;1130;1;"A";NA;NA;326;421;"hatched";421;26;2;319803;7556079;NA;940
"w24";26;"MP";"FH17846";429;"LEP";330;"Nest";"FH17846W330";"W24";1203;1208;"f";1;0;1130;1;"A";321027;7556148;326;NA;NA;NA;4;NA;321027;7556148;"4";1630
"w25";27;"KIP";"FH73340";-402;"LEP";417;"Brood";"FH73340W417";"W25";1203;1208;"m";0;1;1130;0;"A";321128;7556240;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700
"w26";28;"KIP";"FH72570";-101;"OV";430;"Brood";"FH72570W430";"W26";1203;1208;"m";0;0;1130;0;"A";320019;7557222;NA;NA;NA;NA;NA;NA;NA;NA;NA;1439
"w27";29;"WFP";"FH69267";419;"LEP";427;"Nest";"FH69267W427";"W27";1203;1208;"m";1;0;1130;1;"A";321117;7555933;416;NA;NA;NA;11;NA;321117;7555933;"11";1353
"w28";30;"KIP";"FH73307";441;"LEP";415;"Nest";"FH73307W415";"W28";1203;1208;"m";0;1;1130;0;"A";320805;7555932;403;402;"423";NA;12;NA;320805;7555932;"13";1200
"w29";31;"MP";"FH47015";102;"OV";331;"Nest";"FH47015W331";"W29";1203;1208;"m";0;0;1130;0;"A";NA;NA;325;406;"abandoned";NA;6;NA;320173;7555788;"6";1625
"w3";3;"WFP";"FH68955";404;"LEP";408;"Nest";"FH68955W408";"W3";1124;1125;"f";1;0;1118;1;"A";319925;7554453;327;423;"abandoned";NA;12;NA;319925;7554453;"12";1224
"w30";32;"KIP";"FH69234";125;"OV";401;"Nest";"FH69234W401";"W30";1203;1208;"m";1;0;1130;1;"A";NA;NA;318;421;"hatched";421;14;NA;320277;7555439;"14";1538
